Designator,LCSC Part #,Status,Matched Pads,KiCad Physical Pads,EasyEDA Physical Pads,Pin-map Issues,RMS Residual mm,Current X,Current Y,Current Rotation,Candidate X,Candidate Y,Candidate Rotation,Corrected X,Corrected Y,Corrected Rotation,Delta X mm,Delta Y mm,Delta Rotation,Override Evidence,Error
SW1,C231329,PASS,2,2,2,,0.0000,87.000000,-15.500000,0.000000,87.0000,-15.5000,0,87.0000,-15.5000,0,+0.0000,+0.0000,0,,
SW2,C231329,PASS,2,2,2,,0.0000,94.000000,-15.500000,0.000000,94.0000,-15.5000,0,94.0000,-15.5000,0,+0.0000,+0.0000,0,,
U1,C7848,PASS,20,20,20,,0.0085,72.500000,-61.300000,90.000000,72.5000,-61.3000,0,72.5000,-61.3000,0,-0.0000,+0.0000,270,,
U2,C7848,PASS,20,20,20,,0.0085,93.500000,-61.300000,90.000000,93.5000,-61.3000,0,93.5000,-61.3000,0,-0.0000,+0.0000,270,,
U3,C7848,PASS,20,20,20,,0.0085,51.500000,-61.300000,90.000000,51.5000,-61.3000,0,51.5000,-61.3000,0,-0.0000,+0.0000,270,,
U4,C7848,PASS,20,20,20,,0.0085,62.000000,-61.300000,90.000000,62.0000,-61.3000,0,62.0000,-61.3000,0,-0.0000,+0.0000,270,,
U5,C7848,PASS,20,20,20,,0.0085,83.000000,-61.300000,90.000000,83.0000,-61.3000,0,83.0000,-61.3000,0,-0.0000,+0.0000,270,,
U6,C7848,PASS,20,20,20,,0.0085,41.000000,-61.300000,90.000000,41.0000,-61.3000,0,41.0000,-61.3000,0,-0.0000,+0.0000,270,,
U7,C7848,PASS,20,20,20,,0.0085,89.000000,-33.500000,-90.000000,89.0000,-33.5000,180,89.0000,-33.5000,180,+0.0000,+0.0000,270,,
U8,C7848,PASS,20,20,20,,0.0085,98.400000,-33.500000,-90.000000,98.4000,-33.5000,180,98.4000,-33.5000,180,+0.0000,+0.0000,270,,
U9,C7848,PASS,20,20,20,,0.0085,61.000000,-33.500000,-90.000000,61.0000,-33.5000,180,61.0000,-33.5000,180,+0.0000,+0.0000,270,,
U10,C7848,PASS,20,20,20,,0.0085,69.000000,-33.500000,-90.000000,69.0000,-33.5000,180,69.0000,-33.5000,180,+0.0000,+0.0000,270,,
U11,C7848,PASS,20,20,20,,0.0085,79.000000,-33.500000,-90.000000,79.0000,-33.5000,180,79.0000,-33.5000,180,+0.0000,+0.0000,270,,
U12,C7848,PASS,20,20,20,,0.0085,52.800000,-33.500000,-90.000000,52.8000,-33.5000,180,52.8000,-33.5000,180,+0.0000,+0.0000,270,,
U13,C2840304,PASS_OVERRIDE,32,32,32,,0.4500,88.200000,-47.500000,90.000000,88.2000,-47.5000,0,88.2000,-47.5000,0,+0.0000,+0.0000,270,Ported exact CY62128 package rotation mapping from the JLCPCB-reviewed NES release: numbered-pad registration requires horizontal body at JLC rotation 0. Reconfirm pin 1.,
U14,C2840304,PASS_OVERRIDE,32,32,32,,0.4500,61.500000,-47.500000,90.000000,61.5000,-47.5000,0,61.5000,-47.5000,0,+0.0000,+0.0000,270,Ported exact CY62128 package rotation mapping from the JLCPCB-reviewed NES release: numbered-pad registration requires horizontal body at JLC rotation 0. Reconfirm pin 1.,
U15,C273642,PASS,16,16,16,,0.0033,107.000000,-19.000000,180.000000,107.0000,-19.0000,90,107.0000,-19.0000,90,+0.0000,-0.0000,270,,
U16,C273642,PASS,16,16,16,,0.0033,106.450000,-30.500000,180.000000,106.4500,-30.5000,90,106.4500,-30.5000,90,+0.0000,-0.0000,270,,
U17,C406871,PASS,16,16,16,,0.0033,107.000000,-48.000000,180.000000,107.0000,-48.0000,90,107.0000,-48.0000,90,+0.0000,-0.0000,270,,
U18,C2983744,PASS,5,5,5,,0.0858,74.850000,-50.000000,0.000000,74.8675,-50.0000,270,74.8675,-50.0000,270,+0.0175,-0.0000,270,,
U19,C2983744,PASS,5,5,5,,0.0858,101.000000,-54.000000,0.000000,101.0175,-54.0000,270,101.0175,-54.0000,270,+0.0175,-0.0000,270,,
U20,C2983744,PASS,5,5,5,,0.0858,39.000000,-50.000000,0.000000,39.0175,-50.0000,270,39.0175,-50.0000,270,+0.0175,-0.0000,270,,
U21,C485078,PASS_OVERRIDE,6,6,6,,0.2626,106.500000,-54.000000,0.000000,106.5000,-54.0000,270,106.5000,-54.0000,270,+0.0000,+0.0000,270,Ported exact SC-70-6 package mapping from the JLCPCB-reviewed NES release: numbered-pad registration requires JLC rotation 270. Reconfirm pin 1.,
U22,C485078,PASS_OVERRIDE,6,6,6,,0.2626,43.000000,-50.000000,0.000000,43.0000,-50.0000,270,43.0000,-50.0000,270,+0.0000,+0.0000,270,Ported exact SC-70-6 package mapping from the JLCPCB-reviewed NES release: numbered-pad registration requires JLC rotation 270. Reconfirm pin 1.,
U23,C2913198,PASS_OVERRIDE,41,53,49,"physical pad-count mismatch {'41': (13, 9)}",0.1412,39.200000,-23.000000,0.000000,39.2000,-26.6510,0,39.2000,-26.6510,0,+0.0000,-3.6510,0,Ported exact ESP32-S3-WROOM supplier-origin mapping from the JLCPCB-reviewed NES release: EasyEDA body origin is 3.651 mm inward in Y while antenna orientation remains unchanged. Reconfirm castellations and antenna edge.,
U25,C6186,PASS_OVERRIDE,3,4,4,"EasyEDA-only pad names ['4']; physical pad-count mismatch {'2': (2, 1)}",1.4849,58.000000,-15.200000,0.000000,58.8699,-15.2000,180,58.0000,-15.2000,180,+0.0000,+0.0000,180,Ported exact SOT-223 mapping from the JLCPCB-reviewed NES release: supplier tab is pad 4 while KiCad tab is a second physical pad 2; all terminals align at JLC rotation 180. Reconfirm tab and pin 1.,
